,mal_id,url,title,title_japanese,title_romanji,aired,score,filler,recap,forum_url,poll_votes
65,66,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/66,Goku's New Power,ケタ外れの強さ！！伝説の超サイヤ人孫悟空,Ketahazure no Tsuyosa!! Densetsu no Super Saiyajin Son Gokuu ,1990-11-07T00:00:00+00:00,4.8,False,False,https://myanimelist.net/forum/?topicid=356303,52
66,67,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/67,A Legend Revealed,赤と青の光球！ジースとバータが悟空を襲う,Aka to Ao no Lightning Ball! Jheese to Butta ga Gokuu wo Osou ,1990-11-14T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356307,45
67,68,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/68,Ginyu Assault,ついに直接対決！！ギニュー隊長のおでましだ,Tsui ni Chokusetsu Taiketsu!! Ginyuu Taichou no Odemashi Da ,1990-11-21T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356311,49
68,69,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/69,Incredible Force!,凄まじい迫力！！見たか、悟空のフルパワー,"Susamajii Hakuryoku!! Mita ka, Gokuu no Full Power ",1990-11-28T00:00:00+00:00,4.7,False,False,https://myanimelist.net/forum/?topicid=356317,44
69,70,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/70,Frieza Approaches,闘いの行方！？最長老に迫るフリーザの魔の手,Tatakai no Yukue!? Saichourou ni Semaru Freeza no Ma no Te ,1990-12-05T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=356337,53
70,71,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/71,Goku is Ginyu and Ginyu is Goku,ビックリ！！悟空がギニューでギニューが悟空,Bikkuri!! Gokuu ga Ginyuu de Ginyuu ga Gokuu ,1990-12-12T00:00:00+00:00,4.2,False,False,https://myanimelist.net/forum/?topicid=356349,49
71,72,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/72,Calling the Eternal Dragon,出でよ超神龍！！ボクの願いをかなえたまえ,Ide yo Syper Shenron!! Boku no Negai wo Kanaetamae ,1990-12-19T00:00:00+00:00,4.4,False,False,https://myanimelist.net/forum/?topicid=356357,45
72,73,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/73,"Gohan, Defeat Your Dad!",奴はオラじゃネェ！悟飯びびるな父を撃て！！,Yatsu wa Ora ja Nee! Gohan Bibiru na Chichi wo Ute!! ,1991-01-16T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356363,42
73,74,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/74,Captain Ginyu... The Frog,大誤算！！ギニューがカエルになっちゃった,Daigosan!! Ginyuu ga Kaeru ni Natchatta ,1991-01-23T00:00:00+00:00,4.5,False,False,https://myanimelist.net/forum/?topicid=356367,49
74,75,https://myanimelist.net/anime/813/Dragon_Ball_Z/episode/75,Password is Porunga,七ッの玉を揃えし者よ…さあ合言葉を言え！,Nanatsu no Tama wo Soroeshi Mono yo... Saa Aikotoba wo Ie! ,1991-01-30T00:00:00+00:00,4.6,False,False,https://myanimelist.net/forum/?topicid=356373,44
